config,m,n,seed,algo,K_mult,cmax,lb,gap_pct,time_ms,assign_sha16
eval-m2-n50,2,50,3011,lpt,,1298,1298,0.000000,0.021,70c63e3f98bbca12
eval-m2-n50,2,50,3011,multifit,,1299,1298,0.077042,0.086,16887644a9d91190
eval-m2-n50,2,50,3011,lpt_ls,,1298,1298,0.000000,0.062,70c63e3f98bbca12
eval-m2-n50,2,50,3011,rol,4,1298,1298,0.000000,0.111,70c63e3f98bbca12
eval-m2-n50,2,50,3012,lpt,,1271,1271,0.000000,0.023,3e85824706fad2cc
eval-m2-n50,2,50,3012,multifit,,1271,1271,0.000000,0.086,a226652ed0546969
eval-m2-n50,2,50,3012,lpt_ls,,1271,1271,0.000000,0.068,3e85824706fad2cc
eval-m2-n50,2,50,3012,rol,4,1271,1271,0.000000,0.112,3e85824706fad2cc
eval-m2-n50,2,50,3013,lpt,,1307,1307,0.000000,0.022,9b957ab6c9a6c834
eval-m2-n50,2,50,3013,multifit,,1307,1307,0.000000,0.083,03328c8af8e811b7
eval-m2-n50,2,50,3013,lpt_ls,,1307,1307,0.000000,0.050,9b957ab6c9a6c834
eval-m2-n50,2,50,3013,rol,4,1307,1307,0.000000,0.119,9b957ab6c9a6c834
eval-m2-n50,2,50,3014,lpt,,1170,1170,0.000000,0.021,41d705e34083846a
eval-m2-n50,2,50,3014,multifit,,1170,1170,0.000000,0.085,cbe2eab34034254f
eval-m2-n50,2,50,3014,lpt_ls,,1170,1170,0.000000,0.049,41d705e34083846a
eval-m2-n50,2,50,3014,rol,4,1170,1170,0.000000,0.119,41d705e34083846a
eval-m2-n50,2,50,3015,lpt,,1174,1174,0.000000,0.021,dac27a6132342918
eval-m2-n50,2,50,3015,multifit,,1174,1174,0.000000,0.089,7cfcc5ffdb16a30d
eval-m2-n50,2,50,3015,lpt_ls,,1174,1174,0.000000,0.064,dac27a6132342918
eval-m2-n50,2,50,3015,rol,4,1174,1174,0.000000,0.112,dac27a6132342918
eval-m2-n50,2,50,3016,lpt,,1238,1238,0.000000,0.022,e8c1dfddafaea86f
eval-m2-n50,2,50,3016,multifit,,1239,1238,0.080775,0.085,2363a33da0f9c709
eval-m2-n50,2,50,3016,lpt_ls,,1238,1238,0.000000,0.068,e8c1dfddafaea86f
eval-m2-n50,2,50,3016,rol,4,1238,1238,0.000000,0.134,e8c1dfddafaea86f
eval-m2-n50,2,50,3017,lpt,,1232,1232,0.000000,0.022,79d7ac8d5962d400
eval-m2-n50,2,50,3017,multifit,,1232,1232,0.000000,0.085,ced25264a636cb59
eval-m2-n50,2,50,3017,lpt_ls,,1232,1232,0.000000,0.063,79d7ac8d5962d400
eval-m2-n50,2,50,3017,rol,4,1232,1232,0.000000,0.114,79d7ac8d5962d400
eval-m2-n50,2,50,3018,lpt,,1434,1433,0.069784,0.021,30ff82d96bdaf1ae
eval-m2-n50,2,50,3018,multifit,,1433,1433,0.000000,0.084,33a7187baac4fe4e
eval-m2-n50,2,50,3018,lpt_ls,,1433,1433,0.000000,0.071,9fde8eb2de653a25
eval-m2-n50,2,50,3018,rol,4,1434,1433,0.069784,0.115,30ff82d96bdaf1ae
eval-m2-n50,2,50,3019,lpt,,1234,1233,0.081103,0.021,d525dfaeb8ebaf6a
eval-m2-n50,2,50,3019,multifit,,1233,1233,0.000000,0.084,6b1c4c650fd56c1a
eval-m2-n50,2,50,3019,lpt_ls,,1233,1233,0.000000,0.083,d40803c9a83b60ef
eval-m2-n50,2,50,3019,rol,4,1234,1233,0.081103,0.124,d525dfaeb8ebaf6a
eval-m2-n50,2,50,3020,lpt,,1014,1014,0.000000,0.022,446cc1bed03fbcb1
eval-m2-n50,2,50,3020,multifit,,1014,1014,0.000000,0.081,1b6d1e0f000650f3
eval-m2-n50,2,50,3020,lpt_ls,,1014,1014,0.000000,0.063,446cc1bed03fbcb1
eval-m2-n50,2,50,3020,rol,4,1014,1014,0.000000,0.118,446cc1bed03fbcb1
eval-m2-n50,2,50,3021,lpt,,1239,1239,0.000000,0.021,e36c21d737b7c358
